prediction,movie_title
7.352766454263631,Last Christmas
5.708181611713724,Playmobil: The Movie
6.295521056716576,A Beautiful Day in the  Neighborhood
6.9903203876601365,21 Bridges
6.766498565046346,Playing with Fire
7.515933833872441,Midway
7.989887920156149,Joker
7.665749613626631,Frozen 2
7.46924346871305,Knives Out
7.107208246259148,Ford v Ferrari
