gross,budget,senti_actor,senti_director,country,genres,imdb_score,count_actor,count_director,senti_comment,log_budget
371081,6000000,0.117193156,0.165735964,USA,Comedy,7,494,280,0.171316539,15.60727003
124494,2000000,0.132119417,0.110234425,USA,Action,6.7,284.7456014,198.3301927,0.158217512,14.50865774
100669,3800000,0.089869966,0.110234425,USA,Comedy,5.8,216,198.3301927,0.138694687,15.15051162
186354,13500000,0.132119417,0.102594937,USA,Drama,4.5,284.7456014,60,0.085012457,16.41820024
17580,1500000,0.116920608,0.110234425,USA,Drama,6.2,120,198.3301927,0.138694687,14.22097567
12667,14000,0.11573019,0.028515625,UK,Drama,6.6,475,20,0.173208814,9.546812609
198407,2000000,0.132119417,0.13118608,USA,Drama,6.6,284.7456014,20,0.133755062,14.50865774
13973532,25000000,0.141928421,0.110234425,USA,Comedy,5.1,80,198.3301927,0.076794344,17.03438638
4958,2000000,0.132119417,0.110234425,South Africa,Action,7.8,284.7456014,198.3301927,0.138694687,14.50865774
7927,2300000,0.098154804,0.078079822,USA,Crime,7.7,120,379,0.146377369,14.64841968
2436,2000000,0.132119417,0.110234425,USA,Comedy,5.7,284.7456014,198.3301927,0.138694687,14.50865774
4600000,1900000,0.104763994,0.030210141,USA,Crime,7.1,494,380,0.113322907,14.45736444
1420578,1900000,0.132119417,0.110234425,USA,Drama,6.4,284.7456014,198.3301927,0.145106662,14.45736444
1028658,3000000,0.136740062,0.110234425,Spain,Drama,7,495,198.3301927,0.056541053,14.91412285
18435,1400000,0.2685102,0.110234425,France,Drama,5.8,100,198.3301927,0.138694687,14.15198279
35266619,30000000,0.132119417,0.110234425,USA,Drama,5.9,284.7456014,198.3301927,0.152185735,17.21670794
26505000,1800000,0.078728076,0.093021173,USA,Horror,7.5,462,200,0.131763595,14.40329722
2957978,1000000,0.125956555,0.110234425,UK,Biography,7.8,160,198.3301927,0.136734033,13.81551056
444044,1900000,0.196526966,0.110234425,USA,Drama,7.2,20,198.3301927,0.138694687,14.45736444
40990055,1800000,0.132119417,0.110234425,France,Drama,5.6,284.7456014,198.3301927,0.062345286,14.40329722
5709616,1800000,0.132119417,0.110234425,Mexico,Drama,6.8,284.7456014,198.3301927,0.145882073,14.40329722
12784397,1800000,0.132119417,0.104885653,USA,Drama,7.3,284.7456014,20,0.06781831,14.40329722
3050934,1800000,0.11651992,0.110234425,USA,Drama,7.3,40,198.3301927,0.22994074,14.40329722
638476,1500000,0.191592828,0.09639881,USA,Comedy,6.6,493,20,0.115603154,14.22097567
505295,1800000,0.132119417,0.110234425,Australia,Adventure,7.5,284.7456014,198.3301927,0.209629598,14.40329722
7267324,3500000,0.132119417,0.110234425,Germany,Crime,7.8,284.7456014,198.3301927,0.16736745,15.06827353
145540,500000,0.132119417,0.151933983,USA,Drama,6.7,284.7456014,60,0.138694687,13.12236338
35918429,1700000,0.14679798,0.110234425,USA,Crime,7.5,20,198.3301927,0.120961066,14.34613881
92401,2000000,0.093099279,0.110234425,USA,Horror,6.3,99,198.3301927,0.024895749,14.50865774
1943649,1700000,0.132119417,0.110234425,USA,Comedy,6.3,284.7456014,198.3301927,0.201006754,14.34613881
992238,1700000,0.132119417,0.110234425,UK,Drama,6.8,284.7456014,198.3301927,0.167897639,14.34613881
4231500,1000000,0.180984848,0.110234425,India,Drama,7.8,20,198.3301927,0.184916822,13.81551056
396035,1000000,0.132119417,0.110234425,UK,Drama,6.9,284.7456014,198.3301927,0.158334389,13.81551056
6026908,2000000,0.114567626,0.184550242,USA,Comedy,4.3,60,140,0.138694687,14.50865774
1060591,1300000,0.132119417,0.110234425,France,Comedy,7.2,284.7456014,198.3301927,0.210921251,14.07787482
155972,1500000,0.132119417,0.110234425,Israel,Comedy,7.3,284.7456014,198.3301927,0.138694687,14.22097567
129319,70000000,0.132119417,0.110234425,India,Romance,5.1,284.7456014,198.3301927,0.138694687,18.0640058
26893,1600000,0.105112943,0.197192641,France,Crime,7.2,39,20,0.134203446,14.28551419
2580,1650000,0.247238606,0.009202381,USA,Drama,5.4,40,20,0.120210777,14.31628585
58885635,26000000,0.086353423,0.093798123,USA,Action,7.4,20,500,0.097917408,17.0736071
19067631,2000000,0.132119417,0.110234425,USA,Comedy,7.1,284.7456014,198.3301927,0.099479392,14.50865774
11806119,1100000,0.060520833,0.110234425,USA,Action,6.8,20,198.3301927,0.198652717,13.91082074
7417210,1500000,0.127826203,0.043750541,USA,Drama,7,386,40,0.029786927,14.22097567
7362100,1500000,0.094422348,0.204916173,USA,Comedy,7.4,20,500,0.11688279,14.22097567
7022940,1000000,0.132119417,0.110234425,USA,Comedy,6.7,284.7456014,198.3301927,0.138694687,13.81551056
5132222,2000000,0.210310638,0.110234425,Canada,Drama,7.2,39,198.3301927,0.152113888,14.50865774
2365931,1500000,0.157130562,0.02929412,USA,Comedy,7.5,59,60,0.092265753,14.22097567
53991137,1500000,0.065553346,0.11762895,USA,Fantasy,6.8,40,100,0.044270885,14.22097567
1221261,1500000,0.132119417,0.110234425,Argentina,Crime,7.9,284.7456014,198.3301927,0.194377679,14.22097567
712294,1500000,0.220653907,0.104199658,USA,Drama,6.7,19,140,0.176292665,14.22097567
3447339,1500000,0.094648976,0.025,USA,Comedy,5.8,492,20,0.12306479,14.22097567
418953,1500000,0.051608796,0.110234425,France,Crime,6.5,20,198.3301927,0.12722335,14.22097567
